feature_id,correct_answer,n_prompts,n_nonzero,mean_effect,mean_abs_effect,max_abs_effect,sfr,n_flip,layer,community,grad_attr_sign,role_label
L19_F54110,proton,80,78,-0.4587890625,0.5408203125,2.0,0.0,0,,,,
L19_F59757,electron,80,80,-0.7421875,0.79609375,2.1875,0.0,0,,,,
L19_F59757,neutron,135,132,-0.6569444444444444,0.7935185185185185,3.921875,0.0,0,,,,
L19_F59757,photon,152,150,-0.21731085526315788,0.661389802631579,2.28125,0.006578947368421052,1,,,,
L19_F59757,proton,80,76,-0.5072265625,0.5728515625,2.0625,0.0,0,,,,
L20_F101109,electron,80,79,-1.33046875,1.34296875,3.75,0.0,0,20.0,1.0,1.0,α-attr
L20_F101109,neutron,135,135,-1.4204861111111111,1.521412037037037,5.125,0.022222222222222223,3,20.0,1.0,1.0,α-attr
L20_F101109,photon,152,152,-1.763466282894737,1.7823807565789473,5.875,0.039473684210526314,6,20.0,1.0,1.0,α-attr
L20_F101109,proton,80,79,-0.7998046875,0.9396484375,3.75,0.0125,1,20.0,1.0,1.0,α-attr
L20_F111138,electron,80,80,-1.3173828125,1.3361328125,3.59375,0.0,0,,,,
L20_F111138,neutron,135,134,-1.4251157407407407,1.5204861111111112,5.375,0.014814814814814815,2,,,,
L20_F111138,photon,152,152,-1.764391447368421,1.7816611842105263,6.0625,0.039473684210526314,6,,,,
L20_F111138,proton,80,80,-0.696484375,0.88125,3.46875,0.0125,1,,,,
L20_F111313,electron,80,80,-1.3345703125,1.3556640625,3.6875,0.0,0,,,,
L20_F111313,neutron,135,135,-1.4467592592592593,1.5439814814814814,5.1875,0.022222222222222223,3,,,,
L20_F111313,photon,152,152,-1.7705592105263157,1.7907072368421053,6.125,0.039473684210526314,6,,,,
L20_F111313,proton,80,80,-0.693359375,0.87578125,3.4375,0.0125,1,,,,
L20_F117855,electron,80,80,-1.3564453125,1.3759765625,3.625,0.0,0,,,,
L20_F117855,neutron,135,134,-1.4755787037037038,1.5644675925925926,5.25,0.014814814814814815,2,,,,
L20_F117855,photon,152,152,-1.807360197368421,1.8258634868421053,6.3125,0.039473684210526314,6,,,,
L20_F117855,proton,80,80,-0.7189453125,0.9041015625,3.53125,0.0125,1,,,,
L20_F24337,electron,80,80,-1.3541015625,1.3697265625,3.625,0.0,0,20.0,1.0,1.0,α-attr
L20_F24337,neutron,135,133,-1.4827546296296297,1.5804398148148149,5.34375,0.014814814814814815,2,20.0,1.0,1.0,α-attr
L20_F24337,photon,152,151,-1.7870065789473684,1.8067434210526316,6.125,0.039473684210526314,6,20.0,1.0,1.0,α-attr
L20_F24337,proton,80,80,-0.705859375,0.896875,3.4375,0.0125,1,20.0,1.0,1.0,α-attr
L21_F122057,electron,80,79,-0.3744140625,0.6326171875,1.65625,0.0,0,,,,
L21_F122057,neutron,135,133,-0.38680555555555557,0.81875,2.5625,0.014814814814814815,2,,,,
L21_F122057,photon,152,151,-0.953844572368421,1.1915090460526316,4.5625,0.013157894736842105,2,,,,
L21_F122057,proton,80,77,-0.2283203125,0.4892578125,1.78125,0.0125,1,,,,
L21_F144598,electron,80,79,-0.3841796875,0.6205078125,1.625,0.0,0,21.0,2.0,1.0,α-attr
L21_F144598,neutron,135,130,-0.3386574074074074,0.7597222222222222,2.4375,0.014814814814814815,2,21.0,2.0,1.0,α-attr
L21_F144598,photon,152,152,-0.7027138157894737,1.0464638157894737,3.90625,0.0,0,21.0,2.0,1.0,α-attr
L21_F144598,proton,80,77,-0.252734375,0.47109375,1.6875,0.0125,1,21.0,2.0,1.0,α-attr
L21_F15419,electron,80,78,-0.3990234375,0.6447265625,1.6875,0.0,0,,,,
L21_F15419,neutron,135,132,-0.37395833333333334,0.8186342592592593,2.375,0.014814814814814815,2,,,,
L21_F15419,photon,152,152,-0.9567228618421053,1.179173519736842,4.5625,0.013157894736842105,2,,,,
L21_F15419,proton,80,76,-0.2591796875,0.4830078125,1.8125,0.0125,1,,,,
L21_F20252,electron,80,76,-0.259375,0.590625,1.625,0.0,0,21.0,2.0,1.0,α-attr
L21_F20252,neutron,135,131,-0.2337962962962963,0.7354166666666667,2.0625,0.014814814814814815,2,21.0,2.0,1.0,α-attr
L21_F20252,photon,152,150,-0.6832853618421053,1.054173519736842,4.0,0.006578947368421052,1,21.0,2.0,1.0,α-attr
L21_F20252,proton,80,78,-0.1646484375,0.4306640625,1.6875,0.0125,1,21.0,2.0,1.0,α-attr
L21_F27974,electron,80,79,-0.434765625,0.651171875,1.59375,0.0,0,21.0,1.0,1.0,α-attr
L21_F27974,neutron,135,131,-0.4304398148148148,0.7630787037037037,2.4375,0.014814814814814815,2,21.0,1.0,1.0,α-attr
L21_F27974,photon,152,152,-0.8930921052631579,1.135279605263158,4.46875,0.013157894736842105,2,21.0,1.0,1.0,α-attr
L21_F27974,proton,80,78,-0.278515625,0.48359375,1.625,0.0125,1,21.0,1.0,1.0,α-attr
L21_F31790,electron,80,78,-0.4123046875,0.6408203125,1.71875,0.0,0,21.0,1.0,1.0,α-attr
L21_F31790,neutron,135,130,-0.49409722222222224,0.8438657407407407,2.5625,0.014814814814814815,2,21.0,1.0,1.0,α-attr
L21_F31790,photon,152,150,-0.9189967105263158,1.1583059210526316,4.4375,0.013157894736842105,2,21.0,1.0,1.0,α-attr
L21_F31790,proton,80,78,-0.2484375,0.503125,1.75,0.0125,1,21.0,1.0,1.0,α-attr
L22_F118125,electron,80,80,-2.2890625,2.2890625,4.5,0.0,0,,,,
L22_F118125,neutron,135,135,-2.680671296296296,2.694560185185185,6.5,0.014814814814814815,2,,,,
