cluster,prompt_idx,correct_answer,filter_property,wording_family,nd_baseline,nd_ablated,delta_nd,abs_delta_nd,sign_flip
1,308,electron,negative_charge_atomic,F4_contrast_implicit,5.525392532348633,1.2053098678588867,-4.320082664489746,4.320082664489746,False
1,153,neutron,neutral_charge_atomic,F1_direct_implicit,6.354726314544678,-0.5529575347900391,-6.907683849334717,6.907683849334717,True
1,247,photon,massless_em_mediator,F1_direct_implicit,5.987273216247559,-3.0783982276916504,-9.065671443939209,9.065671443939209,True
1,363,neutron,neutral_charge_atomic,F2_contextual_implicit,12.417594909667969,4.555147171020508,-7.862447738647461,7.862447738647461,False
1,71,proton,positive_charge_atomic,F2_contextual_implicit,6.680458068847656,1.615614414215088,-5.064843654632568,5.064843654632568,False
1,339,neutron,neutral_charge_atomic,F1_direct_implicit,8.576652526855469,0.8027057647705078,-7.773946762084961,7.773946762084961,False
1,397,electron,negative_charge_atomic,F3_process_implicit,7.638592720031738,2.170754909515381,-5.467837810516357,5.467837810516357,False
1,86,neutron,nuclear_stability_provider,F4_contrast_implicit,10.538253784179688,2.193697929382324,-8.344555854797363,8.344555854797363,False
1,376,electron,negative_charge_atomic,F2_contextual_implicit,4.905244827270508,0.7842941284179688,-4.120950698852539,4.120950698852539,False
1,352,neutron,nuclear_stability_provider,F3_process_implicit,6.511344909667969,-0.35759639739990234,-6.868941307067871,6.868941307067871,True
1,46,neutron,neutral_charge_atomic,F1_direct_implicit,10.675970077514648,4.731202125549316,-5.944767951965332,5.944767951965332,False
1,69,photon,em_quantum,F3_process_implicit,3.0596303939819336,-2.001498222351074,-5.061128616333008,5.061128616333008,True
1,307,photon,massless_em_mediator,F3_process_implicit,5.322044849395752,1.0464038848876953,-4.275640964508057,4.275640964508057,False
1,332,photon,em_quantum,F3_process_implicit,4.137260437011719,0.9491386413574219,-3.188121795654297,3.188121795654297,False
1,79,photon,massless_em_mediator,F4_contrast_implicit,8.820823669433594,0.18724441528320312,-8.63357925415039,8.63357925415039,False
1,302,neutron,neutral_charge_atomic,F3_process_implicit,10.096578598022461,-0.3708798885345459,-10.467458486557007,10.467458486557007,True
1,446,photon,em_quantum,F2_contextual_implicit,1.0662431716918945,-0.9845075607299805,-2.050750732421875,2.050750732421875,True
1,443,photon,massless_em_mediator,F2_contextual_implicit,6.272970676422119,1.4231204986572266,-4.849850177764893,4.849850177764893,False
1,211,proton,positive_charge_atomic,F3_process_implicit,3.271066665649414,0.74774169921875,-2.523324966430664,2.523324966430664,False
1,432,photon,em_quantum,F1_direct_implicit,6.171609401702881,-2.436552047729492,-8.608161449432373,8.608161449432373,True
1,188,photon,massless_em_mediator,F2_contextual_implicit,5.276698589324951,-2.0927276611328125,-7.369426250457764,7.369426250457764,True
1,205,proton,positive_charge_atomic,F4_contrast_implicit,1.8281898498535156,0.7886419296264648,-1.0395479202270508,1.0395479202270508,False
1,127,photon,em_quantum,F2_contextual_implicit,6.271827697753906,0.6755447387695312,-5.596282958984375,5.596282958984375,False
1,374,proton,positive_charge_atomic,F3_process_implicit,5.379033088684082,0.47646427154541016,-4.902568817138672,4.902568817138672,False
1,285,neutron,nuclear_stability_provider,F2_contextual_implicit,4.8255414962768555,2.18997859954834,-2.6355628967285156,2.6355628967285156,False
1,240,photon,em_quantum,F2_contextual_implicit,6.824898719787598,-0.600377082824707,-7.425275802612305,7.425275802612305,True
1,334,neutron,nuclear_stability_provider,F4_contrast_implicit,4.362615585327148,1.1498689651489258,-3.2127466201782227,3.2127466201782227,False
1,35,photon,em_quantum,F3_process_implicit,8.228654861450195,0.6442070007324219,-7.584447860717773,7.584447860717773,False
1,370,electron,negative_charge_atomic,F3_process_implicit,5.737600803375244,2.4241485595703125,-3.3134522438049316,3.3134522438049316,False
1,220,neutron,neutral_charge_atomic,F4_contrast_implicit,11.417694091796875,0.8766155242919922,-10.541078567504883,10.541078567504883,False
1,440,proton,positive_charge_atomic,F2_contextual_implicit,4.777995586395264,2.2109804153442383,-2.5670151710510254,2.5670151710510254,False
1,167,photon,massless_em_mediator,F4_contrast_implicit,6.728085041046143,0.20903396606445312,-6.5190510749816895,6.5190510749816895,False
1,201,photon,em_quantum,F2_contextual_implicit,9.353407859802246,-0.3678398132324219,-9.721247673034668,9.721247673034668,True
1,272,neutron,nuclear_stability_provider,F2_contextual_implicit,8.00253963470459,0.047781944274902344,-7.9547576904296875,7.9547576904296875,False
1,26,proton,positive_charge_atomic,F4_contrast_implicit,5.956902980804443,2.839824676513672,-3.1170783042907715,3.1170783042907715,False
