cluster,prompt_idx,correct_answer,filter_property,nd_baseline,nd_steered,delta_nd,steering_coeff
1,237,proton,positive_charge_atomic,5.94530725479126,-0.3982572555541992,-6.343564510345459,5.0
1,420,photon,em_quantum,0.5153980255126953,-1.2688884735107422,-1.7842864990234375,5.0
1,288,photon,em_quantum,6.338042259216309,-0.18707275390625,-6.525115013122559,5.0
1,372,photon,massless_em_mediator,6.511629581451416,-2.1673946380615234,-8.67902421951294,5.0
1,5,photon,em_quantum,3.6891326904296875,-0.169525146484375,-3.8586578369140625,5.0
1,321,proton,positive_charge_atomic,3.277252674102783,0.4935169219970703,-2.783735752105713,5.0
1,51,proton,positive_charge_atomic,7.992820739746094,0.10064888000488281,-7.892171859741211,5.0
1,396,neutron,neutral_charge_atomic,10.24449348449707,3.1694107055664062,-7.075082778930664,5.0
1,230,neutron,nuclear_stability_provider,13.336688995361328,0.3031625747680664,-13.033526420593262,5.0
1,187,neutron,neutral_charge_atomic,6.587135314941406,-0.7309122085571289,-7.318047523498535,5.0
1,103,proton,positive_charge_atomic,5.59808349609375,0.11823081970214844,-5.479852676391602,5.0
1,226,photon,massless_em_mediator,4.191532611846924,2.0144662857055664,-2.1770663261413574,5.0
1,352,neutron,nuclear_stability_provider,6.511344909667969,-0.2895498275756836,-6.800894737243652,5.0
1,40,proton,positive_charge_atomic,3.8210160732269287,1.821807861328125,-1.9992082118988037,5.0
1,388,electron,negative_charge_atomic,6.6477508544921875,-1.6061067581176758,-8.253857612609863,5.0
1,173,photon,em_quantum,6.014272689819336,-0.9671735763549805,-6.981446266174316,5.0
1,446,photon,em_quantum,1.0662431716918945,-1.0046448707580566,-2.070888042449951,5.0
1,231,photon,em_quantum,8.320059776306152,-1.1797065734863281,-9.49976634979248,5.0
1,95,neutron,nuclear_stability_provider,5.70802116394043,3.670220375061035,-2.0378007888793945,5.0
1,159,photon,em_quantum,5.544009208679199,0.06145763397216797,-5.482551574707031,5.0
1,99,neutron,neutral_charge_atomic,9.382543563842773,1.8089509010314941,-7.573592662811279,5.0
1,97,neutron,neutral_charge_atomic,5.381625175476074,0.6358280181884766,-4.745797157287598,5.0
1,290,neutron,neutral_charge_atomic,4.4724884033203125,0.3519454002380371,-4.120543003082275,5.0
1,233,photon,em_quantum,5.043202877044678,-0.6112594604492188,-5.6544623374938965,5.0
1,344,photon,massless_em_mediator,3.09414005279541,-2.0102977752685547,-5.104437828063965,5.0
1,114,neutron,neutral_charge_atomic,10.5777587890625,-0.5547370910644531,-11.132495880126953,5.0
1,154,neutron,neutral_charge_atomic,9.6080322265625,3.728719711303711,-5.879312515258789,5.0
1,330,neutron,neutral_charge_atomic,9.732321739196777,4.520755767822266,-5.211565971374512,5.0
1,129,electron,negative_charge_atomic,7.805719375610352,2.802488327026367,-5.003231048583984,5.0
1,143,electron,negative_charge_atomic,9.323150634765625,4.128931999206543,-5.194218635559082,5.0
