experiment_type,prompt_idx,mean_abs_effect_size,median_abs_effect_size,std_abs_effect_size,mean_effect_size,median_effect_size,mean_relative_effect,mean_baseline_logit_diff,mean_intervened_logit_diff,sign_flip_rate,n_features
ablation_zero,95,0.8714366800644818,0.5,0.7853719502192406,-0.8052602094762465,-0.46875,0.1914212432975613,5.112156774483475,4.306896565007229,0.0196078431372549,51
patching,0,0.6881868131868132,0.6875,0.338308510159585,-0.19230769230769232,-0.375,0.26856070653705605,2.5625,2.3701923076923075,0.0,91
patching,1,0.46291208791208793,0.4375,0.3283452332311103,-0.01098901098901099,-0.125,0.8229548083245152,0.5625,0.551510989010989,0.15384615384615385,91
patching,2,0.3473557692307692,0.28125,0.3682485181964025,-0.11486950549450549,-0.03125,0.11342229162336202,3.0625,2.9476304945054945,0.0,91
patching,3,0.44024725274725274,0.25,0.40099832968359794,0.3516483516483517,0.25,0.20717517678847103,2.125,2.4766483516483517,0.0,91
patching,4,0.7754120879120879,0.625,0.576163377887666,-0.5913461538461539,-0.59375,0.22764391504899775,3.40625,2.8149038461538463,0.0,91
patching,5,0.5951236263736264,0.5625,0.3511795626757739,-0.41311813186813184,-0.5,0.25735075623788917,2.3125,1.8993818681318682,0.0,91
patching,6,1.1813186813186813,1.0625,0.8111663705104709,-0.8791208791208791,-1.0,1.2600732466324787,0.9375,0.05837912087912088,0.5384615384615384,91
patching,7,0.7623626373626373,0.5625,0.6781702673203917,-0.5604395604395604,-0.5,1.2197802002637366,-0.625,-1.1854395604395604,0.054945054945054944,91
patching,8,0.8526785714285714,0.53125,0.7396902169580805,0.12328296703296704,0.375,0.3897959165854228,2.1875,2.310782967032967,0.07692307692307693,91
patching,9,0.7891483516483516,0.5,0.781660911473147,-0.5391483516483516,-0.375,4.2087909843223565,0.1875,-0.3516483516483517,0.6373626373626373,91
patching,10,1.0614697802197801,1.21875,0.7239163739256965,0.7441620879120879,1.03125,0.6660202500765978,1.59375,2.337912087912088,0.0,91
patching,11,1.4512362637362637,1.125,1.035934318865662,-1.2177197802197801,-1.125,3.86996326676435,0.375,-0.8427197802197802,0.7912087912087912,91
patching,12,1.176510989010989,1.1875,0.6327020844407562,-0.7232142857142857,-1.0625,0.9907460876661289,1.1875,0.4642857142857143,0.3516483516483517,91
patching,13,0.5103021978021978,0.4375,0.3036616435654886,-0.3440934065934066,-0.375,51030219.78021978,0.0,-0.3440934065934066,0.0,91
patching,14,0.8097527472527473,0.8125,0.5546842889509631,0.11126373626373626,-0.125,0.2879120868884005,2.8125,2.9237637362637363,0.0,91
patching,15,1.2561813186813187,1.5,0.9425813655314488,-1.1929945054945055,-1.5,0.5289184477440565,2.375,1.1820054945054945,0.0989010989010989,91
patching,16,1.5899725274725274,1.125,1.305011999439591,-1.4869505494505495,-1.125,0.4542778636942139,3.5,2.0130494505494507,0.08791208791208792,91
patching,17,0.6122939560439561,0.5,0.4418675354444264,-0.33413461538461536,-0.1875,0.39186812936017584,1.5625,1.2283653846153846,0.0,91
patching,18,0.7273351648351648,0.75,0.48011830171175907,-0.4498626373626374,-0.65625,0.505972285061177,-1.4375,-1.8873626373626373,0.0,91
patching,19,0.6407967032967034,0.6875,0.4046810951438043,-0.08173076923076923,-0.25,0.12580057954133936,-5.09375,-5.175480769230769,0.0,91
patching,20,0.6658653846153846,0.5,0.4665618443400799,-0.3004807692307692,-0.4375,0.5326923034307692,-1.25,-1.5504807692307692,0.03296703296703297,91
patching,21,0.48282967032967034,0.34375,0.5486185249727022,0.2342032967032967,0.15625,0.09142336935676904,-5.28125,-5.0470467032967035,0.0,91
patching,22,0.9508928571428571,0.9375,0.7289753150283178,-0.8883928571428571,-0.9375,0.4754464261941964,-2.0,-2.888392857142857,0.0,91
patching,23,0.5930631868131868,0.5625,0.28565144016549304,-0.2510302197802198,-0.375,0.16083069429284874,-3.6875,-3.93853021978022,0.0,91
patching,24,1.1665521978021978,1.15625,0.8741073689107104,-0.7936126373626373,-0.5,0.2828005321149557,4.125,3.3313873626373627,0.0,91
patching,25,0.8482142857142857,0.5625,0.7267903455255897,-0.5851648351648352,-0.375,0.39915966198714786,2.125,1.539835164835165,0.13186813186813187,91
patching,26,0.9718406593406593,0.96875,0.4145010111173896,-0.0831043956043956,-0.4375,0.26580257276789976,3.65625,3.5731456043956045,0.0,91
patching,27,1.1933379120879122,1.0625,0.7695218585567946,-0.6122939560439561,-0.625,0.5303724030151947,2.25,1.637706043956044,0.12087912087912088,91
patching,28,1.254120879120879,0.9375,0.976361326959154,-1.2252747252747254,-0.9375,0.3236440970024357,3.875,2.6497252747252746,0.0,91
patching,29,0.8550824175824175,0.71875,0.5591434670484662,-0.3125,-0.375,0.318170200707243,2.6875,2.375,0.0,91
patching,30,1.2177197802197801,1.0,0.7654294045711683,-0.5020604395604396,-0.8125,3.2472526606593433,-0.375,-0.8770604395604396,0.17582417582417584,91
patching,31,0.5885989010989011,0.3125,0.5447082818648092,-0.23557692307692307,-0.0625,0.313919412245177,-1.875,-2.110576923076923,0.0,91
patching,32,0.48592032967032966,0.40625,0.3611524202680161,0.07726648351648352,0.09375,0.24681667413443195,1.96875,2.0460164835164836,0.0,91
patching,33,0.7232142857142857,0.5625,0.42031143970775564,-0.301510989010989,-0.5,0.373271887474357,-1.9375,-2.239010989010989,0.0,91
patching,34,1.211195054945055,0.8125,1.0160639079324945,-0.9666895604395604,-0.625,3.2298533937240563,0.375,-0.5916895604395604,0.6703296703296703,91
patching,35,0.8028846153846154,0.5,0.7873469360133264,0.10027472527472528,0.1875,4.282051053675226,-0.1875,-0.08722527472527472,0.43956043956043955,91
patching,36,0.6023351648351648,0.5625,0.3654473670489747,-0.18063186813186813,-0.4375,0.1529740097283618,-3.9375,-4.118131868131868,0.0,91
patching,37,0.5473901098901099,0.375,0.3613356130939598,-0.22321428571428573,-0.3125,0.2654012641144714,-2.0625,-2.2857142857142856,0.0,91
patching,38,0.32967032967032966,0.25,0.25753673114270104,-0.020604395604395604,-0.0625,0.06940427978448141,-4.75,-4.770604395604396,0.0,91
patching,39,0.49725274725274726,0.4375,0.2987113654574928,-0.1717032967032967,-0.3125,0.18502427735907143,-2.6875,-2.8592032967032965,0.0,91
patching,40,0.8097527472527473,0.75,0.5100476632064584,-0.42925824175824173,-0.5,0.19630369582780854,-4.125,-4.554258241758242,0.0,91
patching,41,0.4498626373626374,0.375,0.41564664524044187,-0.2438186813186813,-0.1875,0.18455902995571158,-2.4375,-2.681318681318681,0.0,91
patching,42,0.6741071428571429,0.4375,0.6123395278933371,-0.45089285714285715,-0.15625,0.21789321718891655,3.09375,2.642857142857143,0.0,91
patching,43,0.5858516483516484,0.375,0.46924958115476184,-0.4326923076923077,-0.3125,0.18379659498468467,3.1875,2.7548076923076925,0.0,91
patching,44,0.47046703296703296,0.25,0.44322549786384624,-0.06662087912087912,0.0,0.3272814119611957,1.4375,1.370879120879121,0.01098901098901099,91
patching,45,0.7730082417582418,0.8125,0.45571780140197726,0.012706043956043956,-0.25,1.374236849805997,0.5625,0.5752060439560439,0.21978021978021978,91
patching,46,0.648695054945055,0.5625,0.42899320572546135,-0.31971153846153844,-0.3125,0.17895035949118654,3.625,3.3052884615384617,0.0,91
patching,47,0.9309752747252747,0.5625,0.7926188966673015,-0.8877060439560439,-0.5625,0.17627934162603193,5.28125,4.393543956043956,0.0,91
