experiment_type,layer,feature_id,mean_abs_effect_size,median_abs_effect_size,std_abs_effect_size,mean_effect_size,median_effect_size,mean_relative_effect,mean_baseline_logit_diff,mean_intervened_logit_diff,sign_flip_rate,n
ablation_zero,25,54011,1.3955877137680848,1.165541648864746,1.2707518905434172,-1.3216026288767655,-1.165541648864746,0.5359056109561839,3.6280958354473114,2.3064932065705457,0.052083333333333336,96
ablation_zero,25,64049,1.1370442708333333,0.953125,1.0216848043632787,-0.9925130208333334,-0.890625,455729.6945638884,3.0618489583333335,2.0693359375,0.07291666666666667,96
ablation_zero,25,70978,1.1355794270833333,0.921875,1.021103631062172,-0.99169921875,-0.875,455729.6952212809,3.0618489583333335,2.0701497395833335,0.07291666666666667,96
ablation_zero,25,90133,1.1136067708333333,0.875,1.012352976164149,-0.9547526041666666,-0.859375,455729.6875936107,3.0618489583333335,2.1070963541666665,0.07291666666666667,96
patching,10,40520,0.5865885416666666,0.421875,0.5327240026544805,0.5071614583333334,0.40625,0.5811124572118996,0.5260416666666666,1.033203125,0.041666666666666664,48
patching,10,59805,0.544921875,0.375,0.4877107704657797,0.4654947916666667,0.3125,0.5071625512037451,0.5260416666666666,0.9915364583333334,0.041666666666666664,48
patching,10,68612,0.5950520833333334,0.453125,0.5300149259197282,0.5,0.4375,0.5859899047010745,0.5260416666666666,1.0260416666666667,0.041666666666666664,48
patching,10,104215,0.6067708333333334,0.46875,0.5375615893297205,0.515625,0.4375,130208.92981448972,0.5260416666666666,1.0416666666666667,0.041666666666666664,48
patching,10,126447,0.6048177083333334,0.484375,0.5443469143268745,0.509765625,0.4375,130208.93680257665,0.5260416666666666,1.0358072916666667,0.041666666666666664,48
patching,10,131503,0.6061197916666666,0.484375,0.5351173215703603,0.517578125,0.4375,0.5855028072936819,0.5260416666666666,1.0436197916666667,0.041666666666666664,48
patching,10,141643,0.6334635416666666,0.5,0.5422913756851651,0.533203125,0.46875,130208.94911367654,0.5260416666666666,1.0592447916666667,0.041666666666666664,48
patching,10,148569,0.6061197916666666,0.453125,0.5432484076544584,0.5266927083333334,0.453125,130208.93749097029,0.5260416666666666,1.052734375,0.041666666666666664,48
patching,11,33438,0.498046875,0.4375,0.3516326762111114,-0.20247395833333334,-0.28125,1041667.1522581145,0.5260416666666666,0.3235677083333333,0.0625,48
patching,11,56459,0.5182291666666666,0.4375,0.3727678097452482,-0.23046875,-0.3125,911458.826264093,0.5260416666666666,0.2955729166666667,0.0625,48
patching,11,59878,0.4889322916666667,0.4375,0.34338650893733214,-0.212890625,-0.28125,911458.7909390888,0.5260416666666666,0.3131510416666667,0.0625,48
patching,11,77813,0.4778645833333333,0.375,0.34165575385832964,-0.21875,-0.3125,781250.4677913603,0.5260416666666666,0.3072916666666667,0.0625,48
patching,11,89663,0.501953125,0.4375,0.36125095765259946,-0.22200520833333334,-0.28125,781250.4800571074,0.5260416666666666,0.3040364583333333,0.0625,48
patching,11,126143,0.474609375,0.40625,0.35710029696303863,-0.19205729166666666,-0.25,911458.789085436,0.5260416666666666,0.333984375,0.0625,48
patching,12,22710,0.6419270833333334,0.609375,0.4481028239663651,-0.46875,-0.46875,520833.9719788499,0.5260416666666666,0.057291666666666664,0.10416666666666667,48
patching,12,28960,0.6041666666666666,0.59375,0.4348482198316789,-0.4192708333333333,-0.40625,260417.256615944,0.5260416666666666,0.10677083333333333,0.10416666666666667,48
patching,12,40178,0.619140625,0.578125,0.4468350697269619,-0.4212239583333333,-0.390625,390625.6089720924,0.5260416666666666,0.10481770833333333,0.10416666666666667,48
patching,12,71563,0.6184895833333334,0.59375,0.4479636964012148,-0.4453125,-0.421875,390625.62037803844,0.5260416666666666,0.08072916666666667,0.10416666666666667,48
patching,12,83869,0.6438802083333334,0.59375,0.4589054710452631,-0.4251302083333333,-0.390625,520833.94639752124,0.5260416666666666,0.10091145833333333,0.10416666666666667,48
patching,12,146578,0.5807291666666666,0.5625,0.42992266694922887,-0.4075520833333333,-0.375,390625.5734809863,0.5260416666666666,0.11848958333333333,0.10416666666666667,48
patching,13,5837,0.4544270833333333,0.3125,0.45055366045901146,0.13411458333333334,0.125,1171875.3290196285,0.5260416666666666,0.66015625,0.041666666666666664,48
patching,13,70603,0.4518229166666667,0.296875,0.4622536691865392,0.11328125,0.125,1041666.9710803329,0.5260416666666666,0.6393229166666666,0.020833333333333332,48
patching,13,72758,0.474609375,0.3125,0.49265955916842474,0.13346354166666666,0.171875,1171875.3332545313,0.5260416666666666,0.6595052083333334,0.041666666666666664,48
patching,14,41052,0.6764322916666666,0.5,0.6161099647539428,-0.11002604166666667,-0.1875,520833.9220451926,0.5260416666666666,0.416015625,0.0625,48
patching,14,57525,0.685546875,0.5,0.6093931138197064,-0.11263020833333333,-0.15625,651042.2591341609,0.5260416666666666,0.4134114583333333,0.0625,48
patching,15,127839,0.3821614583333333,0.296875,0.30897207961713047,0.11002604166666667,0.0625,911458.6661569966,0.5260416666666666,0.6360677083333334,0.041666666666666664,48
patching,16,45664,0.4270833333333333,0.34375,0.3754061039831418,0.07161458333333333,0.0625,130208.71663538109,0.5260416666666666,0.59765625,0.041666666666666664,48
patching,17,110833,0.7203776041666666,0.546875,0.533282247761585,0.3948567708333333,0.375,1953125.659170324,0.5260416666666666,0.9208984375,0.041666666666666664,48
patching,18,152973,0.5462239583333334,0.453125,0.5164751447119936,-0.134765625,-0.09375,781250.435763387,0.5260416666666666,0.3912760416666667,0.0625,48
