prompt_idx,cue_type,correct_ans,baseline_logit_diff,C1,C2,C5,C8,C10,C12,C13,C14,C16,C18,C19,C20,C24,C25,C27,C30,C32,C35,C37,C39,C40,C42,C44,C45,C46,C49,C50,C51,C53,C54
43,daughter_a_minus4,alpha,1.4375,0.1875,0.25,0.75,0.5,0.4375,-0.125,-0.125,-0.1875,-0.25,0.4375,0.125,0.6875,0.0,0.0,0.1875,0.0625,-0.375,-0.625,0.0,-0.0625,0.0625,-0.5,-0.5,0.125,0.125,-0.5,-0.5,-0.5625,0.0,-0.125
44,daughter_a_minus4,alpha,1.5625,0.0625,0.125,0.3125,0.1875,0.25,-0.25,-0.25,-0.25,0.0,0.25,-0.1875,0.375,-0.1875,-0.125,0.25,0.0625,-0.25,-0.6875,-0.125,0.125,-0.0625,-0.375,-0.4375,0.125,0.125,-0.1875,-0.125,-0.1875,0.0,0.0
45,daughter_a_minus4,alpha,0.6875,0.4375,0.5625,0.6875,0.5,0.3125,-0.125,-0.0625,-0.1875,0.0625,0.5,0.375,0.8125,-0.125,-0.0625,0.25,0.0625,-0.3125,-0.5625,0.125,0.0,0.25,-0.5,-0.5,0.0,0.0625,-0.1875,-0.25,-0.3125,-0.0625,0.0
46,emitted_2protons,alpha,0.9375,0.4375,0.5,1.0,0.875,0.4375,-0.125,-0.1875,-0.125,-0.0625,0.4375,0.3125,0.4375,0.0625,0.125,0.125,-0.0625,-0.4375,-0.75,0.1875,-0.0625,0.125,-0.4375,-0.4375,-0.0625,-0.125,-0.1875,-0.125,-0.25,0.0625,-0.1875
47,emitted_2protons,alpha,1.3125,0.5,0.6875,0.875,0.75,0.25,-0.1875,-0.1875,-0.125,0.0,0.6875,0.3125,0.5625,0.0625,0.125,0.125,0.0,-0.4375,-0.5,0.1875,0.0625,0.0625,-0.375,-0.3125,0.0625,0.0,-0.375,-0.3125,-0.4375,-0.0625,-0.1875
48,emitted_2protons,alpha,0.8125,0.6875,0.75,0.5625,0.5625,0.25,-0.375,-0.3125,-0.375,0.125,0.6875,0.625,0.6875,-0.0625,0.0625,-0.0625,-0.125,-0.4375,-0.75,0.4375,0.1875,-0.1875,-0.0625,0.0,0.3125,0.25,0.25,0.3125,0.25,0.3125,-0.4375
49,emitted_2protons,alpha,0.625,0.4375,0.5625,1.1875,0.8125,0.5625,-0.0625,-0.0625,-0.0625,0.25,0.875,0.6875,0.875,0.125,0.125,0.125,0.125,-0.3125,-0.625,0.4375,0.0625,0.0625,-0.375,-0.3125,0.125,0.0625,-0.0625,0.0,-0.0625,0.125,-0.0625
50,emitted_2protons,alpha,1.125,0.25,0.4375,0.6875,0.625,0.375,-0.125,-0.125,-0.125,-0.0625,0.5625,0.3125,0.625,0.25,0.25,0.125,0.0625,-0.5,-0.4375,0.125,0.125,0.125,-0.5,-0.4375,-0.0625,-0.125,-0.1875,-0.1875,-0.1875,0.0,-0.125
51,emitted_2protons,alpha,0.8125,0.3125,0.375,0.625,0.5625,0.25,-0.25,-0.1875,-0.25,0.4375,0.8125,0.625,0.875,0.0,0.0625,0.3125,0.1875,-0.1875,-0.625,0.1875,0.1875,-0.125,-0.4375,-0.4375,0.0625,0.0625,-0.25,-0.1875,-0.25,0.0,-0.0625
52,emitted_2protons,alpha,1.75,0.375,0.5,1.375,1.0,0.875,0.125,0.125,0.1875,-0.3125,0.5,0.3125,0.375,-0.1875,-0.125,0.0,-0.125,-0.6875,-0.5,0.4375,-0.1875,-0.125,-0.125,-0.125,0.0625,0.0,0.0,0.0625,-0.0625,0.125,-0.1875
53,emitted_2protons,alpha,1.25,0.5,0.4375,0.75,0.5,0.375,0.0,0.0,0.0,-0.0625,0.625,0.375,0.5,0.25,0.375,0.0625,-0.0625,-0.625,-0.3125,0.25,0.0625,0.1875,-0.375,-0.375,0.0,0.0,-0.1875,-0.1875,-0.25,0.0625,-0.375
54,emitted_2neutrons,alpha,0.875,0.4375,0.5625,0.875,0.75,0.375,-0.1875,-0.1875,-0.125,0.25,0.8125,0.625,0.6875,0.0,0.125,0.25,0.125,-0.1875,-0.5,0.125,0.0625,0.125,-0.4375,-0.4375,0.0,-0.0625,-0.0625,-0.125,-0.125,0.0625,-0.125
55,emitted_2neutrons,alpha,1.5,0.5625,0.8125,1.25,0.9375,0.375,0.1875,0.125,0.125,0.1875,0.8125,0.5625,0.75,-0.125,-0.0625,0.0,-0.0625,-0.5,-0.1875,0.5,-0.0625,0.0,-0.1875,-0.25,0.125,0.125,-0.125,0.0,-0.0625,0.125,-0.125
56,emitted_2neutrons,alpha,0.625,0.25,0.25,0.6875,0.625,0.0625,-0.1875,-0.1875,-0.3125,0.4375,0.875,0.75,1.0,0.125,0.1875,0.125,0.125,-0.375,-0.375,0.375,0.3125,0.0,-0.375,-0.375,0.0625,0.0,0.0,0.125,0.0625,0.25,-0.3125
57,emitted_2neutrons,alpha,0.6875,0.3125,0.5,1.1875,0.875,0.6875,-0.1875,-0.0625,-0.125,0.375,0.9375,0.75,0.9375,-0.0625,0.0625,0.0625,0.0,-0.3125,-0.5,0.3125,-0.1875,0.125,-0.3125,-0.375,0.0625,0.0,-0.1875,-0.0625,-0.1875,0.0,0.0
58,emitted_2neutrons,alpha,0.9375,0.25,0.375,0.5625,0.5,0.3125,-0.1875,-0.1875,-0.1875,0.3125,0.6875,0.4375,0.6875,0.25,0.375,0.375,0.3125,-0.125,-0.4375,0.0625,0.125,0.25,-0.375,-0.3125,0.0,0.0,-0.25,-0.25,-0.25,0.125,-0.125
59,emitted_2neutrons,alpha,0.1875,0.0625,0.0625,0.5625,0.5625,-0.0625,-0.125,-0.1875,-0.1875,0.6875,0.875,0.8125,1.0,0.3125,0.375,0.375,0.3125,0.0,-0.4375,0.1875,0.375,0.0625,-0.5625,-0.5625,0.0625,0.125,-0.3125,-0.1875,-0.25,0.0625,-0.125
