prompt_idx,feature_id,layer,zone,contribution_to_correct,effect_size,data_source
15,L23_F40170,23,late,1.25,-1.25,ablation_zero
15,L23_F6889,23,late,2.125,-2.125,ablation_zero
15,L24_F35447,24,late,0.1875,-0.1875,ablation_zero
15,L25_F43384,25,late,2.0625,-2.0625,ablation_zero
15,L25_F54011,25,late,2.346942901611328,-2.346942901611328,ablation_zero
15,L25_F90133,25,late,2.375,-2.375,ablation_zero
16,L13_F63127,13,early,,,none
16,L14_F129011,14,early,,,none
16,L15_F127839,15,early,0.71875,-0.71875,ablation_zero
16,L16_F45664,16,early,0.6620712280273438,-0.6620712280273438,ablation_zero
16,L16_F76227,16,early,,,none
16,L17_F111317,17,mid,0.4485101699829101,-0.4485101699829101,ablation_zero
16,L17_F51924,17,mid,,,none
16,L18_F149556,18,mid,0.8125,-0.8125,ablation_zero
16,L18_F27853,18,mid,,,none
16,L19_F29102,19,mid,,,none
16,L20_F36426,20,mid,,,none
16,L21_F54492,21,mid,,,none
16,L22_F32734,22,mid,,,none
16,L22_F78043,22,mid,0.65625,-0.65625,ablation_zero
16,L23_F40170,23,late,-0.28125,0.28125,ablation_zero
16,L23_F6889,23,late,0.34375,-0.34375,ablation_zero
16,L24_F35447,24,late,0.28125,-0.28125,ablation_zero
16,L25_F43384,25,late,-0.21875,0.21875,ablation_zero
16,L25_F54011,25,late,-0.0390515327453613,0.0390515327453613,ablation_zero
16,L25_F90133,25,late,-0.46875,0.46875,ablation_zero
17,L13_F63127,13,early,,,none
17,L14_F129011,14,early,,,none
17,L15_F127839,15,early,0.375,-0.375,ablation_zero
17,L16_F45664,16,early,0.1851658821105957,-0.1851658821105957,ablation_zero
17,L16_F76227,16,early,,,none
17,L17_F111317,17,mid,-0.3936934471130371,0.3936934471130371,ablation_zero
17,L17_F51924,17,mid,,,none
17,L18_F149556,18,mid,-0.6875,0.6875,ablation_zero
17,L18_F27853,18,mid,,,none
17,L19_F29102,19,mid,,,none
17,L20_F36426,20,mid,,,none
17,L21_F54492,21,mid,,,none
17,L22_F32734,22,mid,,,none
17,L22_F78043,22,mid,0.71875,-0.71875,ablation_zero
17,L23_F40170,23,late,2.71875,-2.71875,ablation_zero
17,L23_F6889,23,late,3.21875,-3.21875,ablation_zero
17,L24_F35447,24,late,0.71875,-0.71875,ablation_zero
17,L25_F43384,25,late,1.0625,-1.0625,ablation_zero
17,L25_F54011,25,late,1.09910249710083,-1.09910249710083,ablation_zero
17,L25_F90133,25,late,1.28125,-1.28125,ablation_zero
18,L13_F63127,13,early,,,none
18,L14_F129011,14,early,,,none
18,L15_F127839,15,early,0.5625,-0.5625,ablation_zero
18,L16_F45664,16,early,-1.0169343948364258,1.0169343948364258,ablation_zero
18,L16_F76227,16,early,,,none
18,L17_F111317,17,mid,-0.8890180587768555,0.8890180587768555,ablation_zero
18,L17_F51924,17,mid,,,none
18,L18_F149556,18,mid,0.4375,-0.4375,ablation_zero
18,L18_F27853,18,mid,,,none
18,L19_F29102,19,mid,,,none
18,L20_F36426,20,mid,,,none
18,L21_F54492,21,mid,,,none
18,L22_F32734,22,mid,,,none
18,L22_F78043,22,mid,0.8125,-0.8125,ablation_zero
18,L23_F40170,23,late,5.875,-5.875,ablation_zero
18,L23_F6889,23,late,5.375,-5.375,ablation_zero
18,L24_F35447,24,late,-0.75,0.75,ablation_zero
18,L25_F43384,25,late,3.625,-3.625,ablation_zero
18,L25_F54011,25,late,3.9343223571777344,-3.9343223571777344,ablation_zero
18,L25_F90133,25,late,3.453125,-3.453125,ablation_zero
19,L13_F63127,13,early,,,none
19,L14_F129011,14,early,,,none
19,L15_F127839,15,early,-0.0625,0.0625,ablation_zero
19,L16_F45664,16,early,-1.4874236583709717,1.4874236583709717,ablation_zero
19,L16_F76227,16,early,,,none
19,L17_F111317,17,mid,-0.5737180709838867,0.5737180709838867,ablation_zero
19,L17_F51924,17,mid,,,none
19,L18_F149556,18,mid,-2.5,2.5,ablation_zero
19,L18_F27853,18,mid,,,none
19,L19_F29102,19,mid,,,none
19,L20_F36426,20,mid,,,none
