experiment_type,layer,feature_id,n,count_abs_effect_size,mean_abs_effect_size,median_abs_effect_size,std_abs_effect_size,mean_effect_size,median_effect_size,mean_relative_effect,mean_baseline_logit_diff,mean_intervened_logit_diff,sign_flip_rate,n_sign_flips
steering,14,57525,20,20.0,0.25625,0.21875,0.16018081887929686,-0.00625,-0.0625,0.08854432899347504,3.71875,3.7125,0.0,0
steering,14,114887,20,20.0,0.25625,0.21875,0.16018081887929686,-0.00625,-0.0625,0.08854432899347504,3.71875,3.7125,0.0,0
steering,15,27553,20,20.0,0.8953125,0.84375,0.8039322432949251,-0.2484375,0.015625,0.419030487133643,3.71875,3.4703125,0.05,1
steering,15,32893,20,20.0,0.8953125,0.84375,0.8039322432949251,-0.2484375,0.015625,0.419030487133643,3.71875,3.4703125,0.05,1
steering,15,111371,20,20.0,0.8953125,0.84375,0.8039322432949251,-0.2484375,0.015625,0.419030487133643,3.71875,3.4703125,0.05,1
steering,15,135551,20,20.0,0.8953125,0.84375,0.8039322432949251,-0.2484375,0.015625,0.419030487133643,3.71875,3.4703125,0.05,1
steering,15,144842,20,20.0,0.8953125,0.84375,0.8039322432949251,-0.2484375,0.015625,0.419030487133643,3.71875,3.4703125,0.05,1
steering,16,33604,20,20.0,0.2265625,0.1875,0.1989060852678443,0.0453125,0.125,0.06544721208525994,3.71875,3.7640625,0.0,0
steering,17,3637,20,20.0,0.2875,0.3125,0.19597092963793863,-0.03125,-0.03125,0.09727013312606633,3.71875,3.6875,0.0,0
steering,17,44675,20,20.0,0.2875,0.3125,0.19597092963793863,-0.03125,-0.03125,0.09727013312606633,3.71875,3.6875,0.0,0
steering,17,65581,20,20.0,0.2875,0.3125,0.19597092963793863,-0.03125,-0.03125,0.09727013312606633,3.71875,3.6875,0.0,0
steering,17,111317,20,20.0,0.2875,0.3125,0.19597092963793863,-0.03125,-0.03125,0.09727013312606633,3.71875,3.6875,0.0,0
steering,17,151157,20,20.0,0.2875,0.3125,0.19597092963793863,-0.03125,-0.03125,0.09727013312606633,3.71875,3.6875,0.0,0
steering,18,109919,20,20.0,0.4046875,0.234375,0.47733099706239374,0.1890625,0.03125,0.12751059236267914,3.71875,3.9078125,0.0,0
steering,18,143489,20,20.0,0.4046875,0.234375,0.47733099706239374,0.1890625,0.03125,0.12751059236267914,3.71875,3.9078125,0.0,0
steering,18,152973,20,20.0,0.4046875,0.234375,0.47733099706239374,0.1890625,0.03125,0.12751059236267914,3.71875,3.9078125,0.0,0
steering,19,11545,20,20.0,0.6046875,0.5,0.47406796977554305,-0.2078125,-0.46875,0.2564564674423645,3.71875,3.5109375,0.05,1
steering,19,44984,20,20.0,0.6046875,0.5,0.47406796977554305,-0.2078125,-0.46875,0.2564564674423645,3.71875,3.5109375,0.05,1
steering,19,68247,20,20.0,0.6046875,0.5,0.47406796977554305,-0.2078125,-0.46875,0.2564564674423645,3.71875,3.5109375,0.05,1
steering,19,103010,20,20.0,0.6046875,0.5,0.47406796977554305,-0.2078125,-0.46875,0.2564564674423645,3.71875,3.5109375,0.05,1
steering,19,135661,20,20.0,0.6046875,0.5,0.47406796977554305,-0.2078125,-0.46875,0.2564564674423645,3.71875,3.5109375,0.05,1
steering,20,26284,20,20.0,0.8875,0.6875,0.8435611387071136,0.365625,0.09375,0.3310502497991582,3.71875,4.084375,0.0,0
steering,20,58760,20,20.0,0.8875,0.6875,0.8435611387071136,0.365625,0.09375,0.3310502497991582,3.71875,4.084375,0.0,0
steering,20,78322,20,20.0,0.8875,0.6875,0.8435611387071136,0.365625,0.09375,0.3310502497991582,3.71875,4.084375,0.0,0
steering,20,99485,20,20.0,0.8875,0.6875,0.8435611387071136,0.365625,0.09375,0.3310502497991582,3.71875,4.084375,0.0,0
steering,20,146302,20,20.0,0.8875,0.6875,0.8435611387071136,0.365625,0.09375,0.3310502497991582,3.71875,4.084375,0.0,0
steering,21,98305,20,20.0,0.2109375,0.15625,0.15136271083150948,-0.0109375,-0.046875,0.06930625318154662,3.71875,3.7078125,0.0,0
steering,21,116961,20,20.0,0.2109375,0.15625,0.15136271083150948,-0.0109375,-0.046875,0.06930625318154662,3.71875,3.7078125,0.0,0
steering,21,121105,20,20.0,0.2109375,0.15625,0.15136271083150948,-0.0109375,-0.046875,0.06930625318154662,3.71875,3.7078125,0.0,0
steering,22,57015,20,20.0,3.2296875,2.75,2.5669544683532437,-2.9640625,-2.75,1.1222083929113988,3.71875,0.7546875,0.5,10
steering,22,63036,20,20.0,3.2296875,2.75,2.5669544683532437,-2.9640625,-2.75,1.1222083929113988,3.71875,0.7546875,0.5,10
steering,22,66669,20,20.0,3.2296875,2.75,2.5669544683532437,-2.9640625,-2.75,1.1222083929113988,3.71875,0.7546875,0.5,10
steering,22,74868,20,20.0,3.2296875,2.75,2.5669544683532437,-2.9640625,-2.75,1.1222083929113988,3.71875,0.7546875,0.5,10
steering,22,80156,20,20.0,3.2296875,2.75,2.5669544683532437,-2.9640625,-2.75,1.1222083929113988,3.71875,0.7546875,0.5,10
steering,23,91721,20,20.0,0.475,0.40625,0.43533297903051055,0.259375,0.1875,0.19605328457599294,3.71875,3.978125,0.0,0
steering,23,119593,20,20.0,0.475,0.40625,0.43533297903051055,0.259375,0.1875,0.19605328457599294,3.71875,3.978125,0.0,0
steering,23,130333,20,20.0,0.475,0.40625,0.43533297903051055,0.259375,0.1875,0.19605328457599294,3.71875,3.978125,0.0,0
steering,24,30233,20,20.0,3.3984375,3.515625,2.0949126534281617,-3.3234375,-3.515625,1.4903408630961557,3.71875,0.3953125,0.5,10
steering,24,73324,20,20.0,3.3984375,3.515625,2.0949126534281617,-3.3234375,-3.515625,1.4903408630961557,3.71875,0.3953125,0.5,10
steering,24,121020,20,20.0,3.3984375,3.515625,2.0949126534281617,-3.3234375,-3.515625,1.4903408630961557,3.71875,0.3953125,0.5,10
steering,24,122537,20,20.0,3.3984375,3.515625,2.0949126534281617,-3.3234375,-3.515625,1.4903408630961557,3.71875,0.3953125,0.5,10
steering,24,161672,20,20.0,3.3984375,3.515625,2.0949126534281617,-3.3234375,-3.515625,1.4903408630961557,3.71875,0.3953125,0.5,10
steering,25,37637,20,20.0,0.9921875,0.4375,1.6186577587517088,-0.4734375,-0.0625,0.29641592141857914,3.71875,3.2453125,0.15,3
steering,25,133941,20,20.0,0.9921875,0.4375,1.6186577587517088,-0.4734375,-0.0625,0.29641592141857914,3.71875,3.2453125,0.15,3
steering,25,143309,20,20.0,0.9921875,0.4375,1.6186577587517088,-0.4734375,-0.0625,0.29641592141857914,3.71875,3.2453125,0.15,3
