cluster_id,top_k,metadata_field,metadata_value,observed_count,expected_count,observed_fraction,expected_fraction,lift,log_odds,cluster_abs_mass_covered,fisher_pval,rank_within_field
0,10,inference_steps,2,8,4.426,0.8,0.4426,1.8077,0.5921,0.0608,0.0233,2
0,10,inference_steps,5,1,0.362,0.1,0.0362,2.7647,1.0169,0.0608,0.31068,1
0,10,inference_steps,3,1,1.915,0.1,0.1915,0.5222,-0.6497,0.0608,0.88336,3
0,20,inference_steps,2,13,8.851,0.65,0.4426,1.4688,0.3844,0.1108,0.04691,2
0,20,inference_steps,5,3,0.723,0.15,0.0362,4.1471,1.4224,0.1108,0.03062,1
0,20,inference_steps,3,3,3.83,0.15,0.1915,0.7833,-0.2442,0.1108,0.77244,3
0,20,inference_steps,1,1,5.957,0.05,0.2979,0.1679,-1.7846,0.1108,0.99929,4
0,30,inference_steps,2,16,13.277,0.5333,0.4426,1.2051,0.1866,0.1548,0.1988,3
0,30,inference_steps,3,7,5.745,0.2333,0.1915,1.2185,0.1976,0.1548,0.34488,2
0,30,inference_steps,1,4,8.936,0.1333,0.2979,0.4476,-0.8038,0.1548,0.99177,4
0,30,inference_steps,5,3,1.085,0.1,0.0362,2.7647,1.0169,0.1548,0.08687,1
0,50,inference_steps,2,27,22.128,0.54,0.4426,1.2202,0.199,0.2353,0.09427,2
0,50,inference_steps,1,10,14.894,0.2,0.2979,0.6714,-0.3983,0.2353,0.96502,4
0,50,inference_steps,3,9,9.574,0.18,0.1915,0.94,-0.0619,0.2353,0.64856,3
0,50,inference_steps,5,4,1.809,0.08,0.0362,2.2118,0.7938,0.2353,0.09508,1
0,75,inference_steps,2,40,33.191,0.5333,0.4426,1.2051,0.1866,0.3277,0.05517,2
0,75,inference_steps,1,16,22.34,0.2133,0.2979,0.7162,-0.3338,0.3277,0.97284,4
0,75,inference_steps,3,13,14.362,0.1733,0.1915,0.9052,-0.0996,0.3277,0.71927,3
0,75,inference_steps,5,5,2.713,0.0667,0.0362,1.8431,0.6115,0.3277,0.11738,1
0,75,inference_steps,4,1,2.394,0.0133,0.0319,0.4178,-0.8728,0.3277,0.92943,5
0,100,inference_steps,2,52,44.255,0.52,0.4426,1.175,0.1613,0.4111,0.05038,2
0,100,inference_steps,1,21,29.787,0.21,0.2979,0.705,-0.3496,0.4111,0.99036,4
0,100,inference_steps,3,20,19.149,0.2,0.1915,1.0444,0.0435,0.4111,0.4533,3
0,100,inference_steps,5,6,3.617,0.06,0.0362,1.6588,0.5061,0.4111,0.12957,1
0,100,inference_steps,4,1,3.191,0.01,0.0319,0.3133,-1.1605,0.4111,0.97402,5
0,10,cue_type,daughter_z_plus1,1,0.255,0.1,0.0255,3.9167,1.3652,0.0608,0.22986,1
0,20,cue_type,daughter_z_plus1,1,0.511,0.05,0.0255,1.9583,0.6721,0.1108,0.41032,2
0,20,cue_type,antineutrino_emitted,1,0.426,0.05,0.0213,2.35,0.8544,0.1108,0.35543,1
0,30,cue_type,daughter_z_plus1,3,0.766,0.1,0.0255,3.9167,1.3652,0.1548,0.03494,1
0,30,cue_type,antineutrino_emitted,1,0.638,0.0333,0.0213,1.5667,0.449,0.1548,0.48634,2
0,50,cue_type,daughter_z_plus1,4,1.277,0.08,0.0255,3.1333,1.1421,0.2353,0.02955,1
0,50,cue_type,antineutrino_emitted,2,1.064,0.04,0.0213,1.88,0.6313,0.2353,0.28851,2
0,50,cue_type,daughter_z_minus2,2,1.277,0.04,0.0255,1.5667,0.449,0.2353,0.37108,3
0,75,cue_type,daughter_z_plus1,5,1.915,0.0667,0.0255,2.6111,0.9598,0.3277,0.02881,1
0,75,cue_type,daughter_z_minus2,4,1.915,0.0533,0.0255,2.0889,0.7366,0.3277,0.10782,2
0,75,cue_type,antineutrino_emitted,3,1.596,0.04,0.0213,1.88,0.6313,0.3277,0.20358,3
0,75,cue_type,emitted_charge_minus1,3,1.915,0.04,0.0255,1.5667,0.449,0.3277,0.29656,4
0,75,cue_type,daughter_a_minus4,2,1.596,0.0267,0.0213,1.2533,0.2258,0.3277,0.49211,5
0,75,cue_type,emitted_charge_plus2,1,1.915,0.0133,0.0255,0.5222,-0.6497,0.3277,0.87916,6
0,100,cue_type,daughter_z_plus1,6,2.553,0.06,0.0255,2.35,0.8544,0.4111,0.02441,1
0,100,cue_type,daughter_z_minus2,5,2.553,0.05,0.0255,1.9583,0.6721,0.4111,0.08802,2
0,100,cue_type,emitted_charge_minus1,4,2.553,0.04,0.0255,1.5667,0.449,0.4111,0.23836,3
0,100,cue_type,antineutrino_emitted,3,2.128,0.03,0.0213,1.41,0.3436,0.4111,0.36071,4
0,100,cue_type,daughter_a_minus4,2,2.128,0.02,0.0213,0.94,-0.0619,0.4111,0.66428,6
0,100,cue_type,emitted_charge_plus2,2,2.553,0.02,0.0255,0.7833,-0.2442,0.4111,0.7633,7
0,100,cue_type,daughter_n_minus1,2,1.702,0.02,0.017,1.175,0.1613,0.4111,0.53503,5
0,100,cue_type,emitted_2neutrons,1,1.702,0.01,0.017,0.5875,-0.5319,0.4111,0.85487,8
0,100,cue_type,emitted_mass_negligible,1,1.702,0.01,0.017,0.5875,-0.5319,0.4111,0.85487,8
0,10,physics_concept,beta_decay,8,4.979,0.8,0.4979,1.6068,0.4743,0.0608,0.05136,1
0,10,physics_concept,alpha_decay,2,5.021,0.2,0.5021,0.3983,-0.9205,0.0608,0.99026,2
0,20,physics_concept,beta_decay,14,9.957,0.7,0.4979,1.406,0.3407,0.1108,0.05169,1
0,20,physics_concept,alpha_decay,6,10.043,0.3,0.5021,0.5975,-0.5151,0.1108,0.98227,2
