cluster_id,metadata_field,metadata_value,best_topk,best_lift,lift_top10,lift_top20,lift_top30,lift_top50,lift_top75,lift_top100,weighted_lift,enrichment_type,confidence,note
3,cue_label,charge_plus_z_change,20,2.9375,,2.9375,1.9583,1.175,0.7833,1.175,1.1379,narrow_decisive,medium,"peak lift=2.94 at early cutoffs, decays to 1.27; weighted=1.14"
3,cue_label,composite_nuclear_object,10,5.875,5.875,2.9375,1.9583,1.175,0.7833,0.5875,1.0062,narrow_decisive,medium,"peak lift=5.88 at early cutoffs, decays to 1.13; weighted=1.01"
3,cue_label,daughter_a_minus4,30,4.7,,2.35,4.7,2.82,2.5067,1.88,1.3383,stable,high,lift>1.5 at 5/5 cutoffs; weighted lift=1.34
3,cue_label,daughter_a_unchanged,20,1.9583,,1.9583,1.3056,1.5667,1.5667,1.5667,1.1096,stable,medium,lift>1.2 at 5/5 cutoffs; weighted lift=1.11
3,cue_label,daughter_n_minus1,20,2.9375,,2.9375,1.9583,2.35,2.35,1.7625,1.2993,stable,medium,lift>1.2 at 5/5 cutoffs; weighted lift=1.30
3,cue_label,daughter_z_and_a_alpha,30,3.1333,,,3.1333,1.88,1.88,1.88,1.1413,stable,medium,lift>1.2 at 4/4 cutoffs; weighted lift=1.14
3,cue_label,daughter_z_minus2,10,3.9167,3.9167,1.9583,2.6111,2.35,2.0889,1.9583,1.3078,stable,high,lift>1.5 at 6/6 cutoffs; weighted lift=1.31
3,cue_label,daughter_z_plus1,30,2.6111,,,2.6111,2.35,2.0889,1.9583,1.3134,stable,high,lift>1.5 at 4/4 cutoffs; weighted lift=1.31
3,cue_label,electron_equivalence,75,3.1333,,,1.9583,2.35,3.1333,2.35,1.2186,stable,medium,lift>1.2 at 4/4 cutoffs; weighted lift=1.22
3,cue_label,emitted_2neutrons,10,5.875,5.875,2.9375,1.9583,1.175,0.7833,1.7625,1.1209,stable,medium,lift>1.2 at 4/6 cutoffs; weighted lift=1.12
3,cue_label,emitted_charge_minus1,10,3.9167,3.9167,3.9167,2.6111,2.35,1.5667,1.9583,1.1436,stable,medium,lift>1.2 at 6/6 cutoffs; weighted lift=1.14
3,cue_label,emitted_mass4,50,1.5667,,,,1.5667,1.0444,1.175,0.8549,absent,medium,"max lift=1.57, weighted=0.85"
3,cue_label,heavy_nuclear_fragment,30,2.6111,,,2.6111,1.5667,2.0889,1.5667,1.2794,stable,medium,lift>1.2 at 4/4 cutoffs; weighted lift=1.28
3,cue_label,mass_plus_daughter_a,100,1.7625,,,,1.175,0.7833,1.7625,1.2398,narrow_decisive,low,moderate lift at limited cutoffs; weighted=1.24
3,cue_label,muon_family,100,1.5667,,,,,1.0444,1.5667,1.1095,unstable,medium,max lift=1.57 but drops below 1.0 at top-50
3,cue_label,n_to_p_plus_z_plus1,30,1.9583,,,1.9583,1.175,0.7833,0.5875,0.985,absent,medium,"max lift=1.96, weighted=0.98"
3,cue_label,narrative_ejection,20,3.9167,,3.9167,2.6111,1.5667,2.0889,2.35,1.3586,stable,high,lift>1.5 at 5/5 cutoffs; weighted lift=1.36
3,cue_label,neutron_to_proton,10,4.7,4.7,2.35,1.5667,1.88,1.2533,0.94,1.0564,narrow_decisive,medium,"peak lift=4.70 at early cutoffs, decays to 1.41; weighted=1.06"
3,cue_label,not_nuclear_fragment,20,3.9167,,3.9167,2.6111,3.1333,2.0889,1.5667,1.404,stable,high,lift>1.5 at 5/5 cutoffs; weighted lift=1.40
3,cue_label,z_plus1_a_unchanged,75,1.2533,,,,,1.2533,0.94,0.9171,absent,medium,"max lift=1.25, weighted=0.92"
3,cue_type,daughter_a_minus4,30,4.7,,2.35,4.7,2.82,2.5067,1.88,1.3383,stable,high,lift>1.5 at 5/5 cutoffs; weighted lift=1.34
3,cue_type,daughter_a_unchanged,20,1.9583,,1.9583,1.3056,1.5667,1.5667,1.5667,1.1096,stable,medium,lift>1.2 at 5/5 cutoffs; weighted lift=1.11
3,cue_type,daughter_n_minus1,20,2.9375,,2.9375,1.9583,2.35,2.35,1.7625,1.2993,stable,medium,lift>1.2 at 5/5 cutoffs; weighted lift=1.30
3,cue_type,daughter_z_minus2,10,3.9167,3.9167,1.9583,2.6111,2.35,2.0889,1.9583,1.3078,stable,high,lift>1.5 at 6/6 cutoffs; weighted lift=1.31
3,cue_type,daughter_z_plus1,30,2.6111,,,2.6111,2.35,2.0889,1.9583,1.3134,stable,high,lift>1.5 at 4/4 cutoffs; weighted lift=1.31
3,cue_type,emitted_2neutrons,10,5.875,5.875,2.9375,1.9583,1.175,0.7833,1.7625,1.1209,stable,medium,lift>1.2 at 4/6 cutoffs; weighted lift=1.12
3,cue_type,emitted_charge_minus1,10,3.9167,3.9167,3.9167,2.6111,2.35,1.5667,1.9583,1.1436,stable,medium,lift>1.2 at 6/6 cutoffs; weighted lift=1.14
3,cue_type,emitted_mass4,50,1.5667,,,,1.5667,1.0444,1.175,0.8549,absent,medium,"max lift=1.57, weighted=0.85"
3,difficulty,hard,10,2.1364,2.1364,1.0682,0.7121,1.0682,1.1394,1.0682,1.0314,narrow_decisive,medium,"peak lift=2.14 at early cutoffs, decays to 1.00; weighted=1.03"
3,difficulty,medium,20,1.7625,1.175,1.7625,1.4361,1.2533,1.1489,1.0183,0.9998,narrow_decisive,low,moderate lift at limited cutoffs; weighted=1.00
3,evidence_completeness,single,10,1.2304,1.2304,1.2304,1.2304,1.1565,1.1483,1.1073,1.0441,narrow_decisive,low,moderate lift at limited cutoffs; weighted=1.04
3,inference_steps,2,30,1.2051,0.9038,0.9038,1.2051,1.1298,1.0545,1.0394,,absent,medium,"max lift=1.21, weighted=N/A"
3,inference_steps,3,20,1.3056,0.5222,1.3056,1.2185,1.1489,1.1141,0.9922,,narrow_decisive,low,moderate lift at limited cutoffs; weighted=N/A
3,inference_steps,5,10,5.5294,5.5294,2.7647,1.8431,2.2118,1.8431,1.6588,,narrow_decisive,medium,"peak lift=5.53 at early cutoffs, decays to 1.89; weighted=N/A"
3,level,1,75,1.2925,1.175,1.175,1.2729,1.2337,1.2925,1.2631,1.0738,narrow_decisive,low,moderate lift at limited cutoffs; weighted=1.07
3,level,AUX,10,3.3571,3.3571,2.5179,1.6786,1.6786,1.4548,1.2589,0.9838,narrow_decisive,medium,"peak lift=3.36 at early cutoffs, decays to 1.52; weighted=0.98"
3,physics_concept,beta_decay,10,1.406,1.406,1.3056,1.1382,1.2051,1.1248,1.1248,1.0115,narrow_decisive,low,moderate lift at limited cutoffs; weighted=1.01
4,correct_answer,alpha,75,1.6463,1.5932,1.4936,1.4605,1.5534,1.6463,1.5932,1.1783,stable,medium,lift>1.2 at 6/6 cutoffs; weighted lift=1.18
4,cue_label,charge_plus_mass,50,3.76,,2.35,3.1333,3.76,3.1333,3.29,1.5933,stable,high,lift>1.5 at 5/5 cutoffs; weighted lift=1.59
4,cue_label,composite_nuclear_object,50,2.35,,,1.9583,2.35,2.35,1.7625,1.352,stable,high,lift>1.5 at 4/4 cutoffs; weighted lift=1.35
4,cue_label,composition_2p2n,10,4.7,4.7,2.35,3.1333,1.88,1.2533,2.82,1.4572,stable,high,lift>1.5 at 5/6 cutoffs; weighted lift=1.46
4,cue_label,composition_plus_daughter,20,2.9375,,2.9375,1.9583,2.35,1.5667,1.7625,1.3148,stable,high,lift>1.5 at 5/5 cutoffs; weighted lift=1.31
4,cue_label,daughter_z_minus2,30,1.3056,,,1.3056,0.7833,0.5222,0.3917,0.5682,absent,medium,"max lift=1.31, weighted=0.57"
4,cue_label,emitted_2neutrons,10,5.875,5.875,2.9375,1.9583,3.525,3.1333,2.35,1.3652,stable,high,lift>1.5 at 6/6 cutoffs; weighted lift=1.37
4,cue_label,emitted_2protons,100,1.7625,,,,,1.5667,1.7625,1.2811,narrow_decisive,low,lift>1.5 at 2/2 cutoffs but weighted lift weak (1.28)
4,cue_label,emitted_charge_plus2,20,5.875,,5.875,3.9167,3.1333,2.0889,1.9583,1.3142,stable,high,lift>1.5 at 5/5 cutoffs; weighted lift=1.31
4,cue_label,emitted_mass4,10,3.9167,3.9167,3.9167,2.6111,1.5667,2.0889,1.9583,1.4134,stable,high,lift>1.5 at 6/6 cutoffs; weighted lift=1.41
4,cue_label,full_emitted_alpha_spec,10,17.625,17.625,8.8125,7.8333,5.875,3.9167,2.9375,1.6957,stable,high,lift>1.5 at 6/6 cutoffs; weighted lift=1.70
4,cue_label,helium4_equivalence,75,1.5667,,,,,1.5667,1.175,1.2545,unstable,medium,max lift=1.57 but drops below 1.0 at top-50
4,cue_label,neutron_to_proton,30,4.7,,2.35,4.7,3.76,2.5067,2.82,1.3431,stable,high,lift>1.5 at 5/5 cutoffs; weighted lift=1.34
4,cue_type,daughter_z_minus2,30,1.3056,,,1.3056,0.7833,0.5222,0.3917,0.5682,absent,medium,"max lift=1.31, weighted=0.57"
4,cue_type,emitted_2neutrons,10,5.875,5.875,2.9375,1.9583,3.525,3.1333,2.35,1.3652,stable,high,lift>1.5 at 6/6 cutoffs; weighted lift=1.37
4,cue_type,emitted_2protons,100,1.7625,,,,,1.5667,1.7625,1.2811,narrow_decisive,low,lift>1.5 at 2/2 cutoffs but weighted lift weak (1.28)
4,cue_type,emitted_charge_plus2,20,5.875,,5.875,3.9167,3.1333,2.0889,1.9583,1.3142,stable,high,lift>1.5 at 5/5 cutoffs; weighted lift=1.31
4,cue_type,emitted_mass4,10,3.9167,3.9167,3.9167,2.6111,1.5667,2.0889,1.9583,1.4134,stable,high,lift>1.5 at 6/6 cutoffs; weighted lift=1.41
4,difficulty,easy,10,1.5359,1.5359,1.4592,1.3824,1.2288,1.1468,1.152,1.0321,narrow_decisive,low,moderate lift at limited cutoffs; weighted=1.03
4,evidence_completeness,combination,30,2.1759,1.9583,1.9583,2.1759,1.9583,1.7407,1.6319,1.1504,stable,medium,lift>1.2 at 6/6 cutoffs; weighted lift=1.15
4,inference_steps,1,10,3.0214,3.0214,2.1821,1.5667,1.41,1.3876,1.2086,,narrow_decisive,medium,"peak lift=3.02 at early cutoffs, decays to 1.39; weighted=N/A"
4,inference_steps,5,20,1.3824,,1.3824,0.9216,0.5529,0.7373,0.8294,,absent,medium,"max lift=1.38, weighted=N/A"
